,type,userId,caseNum,Meeting type,environment,windowMode,center position,distance,transparency,theta,phi,label(81-99),visual angle,favorite
0,1,1,1,1,low,0,"[0.23975759744644165, -0.7177572846412659, 1.411801815032959]",1.601825081,0.8962197304,1.402577392,2.035420873,9,0.1699571545,1
1,0,1,1,1,low,0,"[-0.4385607838630676, -0.5804381966590881, 1.2819652557373047]",1.47400101,0.7565704584,1.900416351,1.975541052,7,0.3777538738,1
2,1,1,1,1,low,1,"[-0.04183945059776306, -0.7898641228675842, 1.142805814743042]",1.389834883,0.6141417027,1.607391146,2.17525297,8,0.1075832197,0
3,0,1,1,1,low,1,"[-0.04273706674575806, -0.46998968720436096, 1.2767128944396973]",1.361143849,0.7565704584,1.604258129,1.923344356,8,0.3581063014,0
4,1,1,2,2,low,0,"[0.23975759744644165, -0.7177572846412659, 1.411801815032959]",1.601825081,0.8962197304,1.402577392,2.035420873,9,0.1699571545,1
5,0,1,2,2,low,0,"[-0.4385607838630676, -0.5804381966590881, 1.2819652557373047]",1.47400101,0.7565704584,1.900416351,1.975541052,7,0.3777538738,1
6,1,1,2,2,low,1,"[-0.04183945059776306, -0.7898641228675842, 1.142805814743042]",1.389834883,0.6141417027,1.607391146,2.17525297,8,0.1075832197,0
7,0,1,2,2,low,1,"[-0.04273706674575806, -0.46998968720436096, 1.2767128944396973]",1.361143849,0.7565704584,1.604258129,1.923344356,8,0.3581063014,0
8,1,1,3,1,high,0,"[0.23975759744644165, -0.7177572846412659, 1.411801815032959]",1.601825081,0.8962197304,1.402577392,2.035420873,9,0.1699571545,1
9,0,1,3,1,high,0,"[-0.4385607838630676, -0.5804381966590881, 1.2819652557373047]",1.47400101,0.7565704584,1.900416351,1.975541052,7,0.3777538738,1
10,1,1,3,1,high,1,"[-0.04183945059776306, -0.7898641228675842, 1.142805814743042]",1.389834883,0.6141417027,1.607391146,2.17525297,8,0.1075832197,0
11,0,1,3,1,high,1,"[-0.04273706674575806, -0.46998968720436096, 1.2767128944396973]",1.361143849,0.7565704584,1.604258129,1.923344356,8,0.3581063014,0
12,1,1,4,2,high,0,"[0.23975759744644165, -0.7177572846412659, 1.411801815032959]",1.601825081,0.8962197304,1.402577392,2.035420873,9,0.1699571545,1
13,0,1,4,2,high,0,"[-0.4385607838630676, -0.5804381966590881, 1.2819652557373047]",1.47400101,0.7565704584,1.900416351,1.975541052,7,0.3777538738,1
14,1,1,4,2,high,1,"[-0.04183945059776306, -0.7898641228675842, 1.142805814743042]",1.389834883,0.6141417027,1.607391146,2.17525297,8,0.1075832197,0
15,0,1,4,2,high,1,"[-0.04273706674575806, -0.46998968720436096, 1.2767128944396973]",1.361143849,0.7565704584,1.604258129,1.923344356,8,0.3581063014,0
16,1,2,1,1,low,0,"[-0.35733234882354736, -0.31090247631073, 1.3268226385116577]",1.408831101,0.8918788433,1.833868969,1.793309116,7,0.1147042147,0
17,0,2,1,1,low,0,"[-0.6163774728775024, 0.07030785083770752, 1.0043280124664307]",1.180482588,0.882171154,2.12124396,1.511202493,4,0.4603980131,0
18,1,2,1,1,low,1,"[0.35300126671791077, -0.11568105220794678, 1.0722301006317139]",1.134755211,0.8918788433,1.252750922,1.672917351,6,0.1447499454,1
19,0,2,1,1,low,1,"[0.03489043936133385, -0.4585029184818268, 1.0609285831451416]",1.156292233,0.882171154,1.537921476,1.978528661,8,0.3811551642,1
20,1,2,2,2,low,0,"[0.17567002773284912, -0.314314603805542, 1.4625649452209473]",1.506236983,0.8918788433,1.451258052,1.781016672,8,0.1627492839,0
21,1,2,2,2,low,1,"[0.17567002773284912, -0.314314603805542, 1.4625649452209473]",1.506236983,0.8918788433,1.451258052,1.781016672,8,0.1627492839,1
22,0,2,2,2,low,0,"[0.16510824859142303, -0.6380638480186462, 1.4502793550491333]",1.593014882,0.7074768543,1.45743856,1.982900839,8,0.2180594018,0
23,0,2,2,2,low,1,"[0.16510824859142303, -0.6380638480186462, 1.4502793550491333]",1.593014882,0.7074768543,1.45743856,1.982900839,8,0.2180594018,1
24,1,2,3,1,high,0,"[0.010241061449050903, -0.20592427253723145, 1.0680277347564697]",1.08774672,0.4275684357,1.561207861,1.761258472,8,0.1013547773,1
25,0,2,3,1,high,0,"[-0.1802416741847992, 0.022088170051574707, 0.9622893333435059]",0.9792730515,0.5787622929,1.755955964,1.548238733,4,0.3101612983,1
26,1,2,3,1,high,1,"[0.20432162284851074, -0.18011879920959473, 0.848470151424408]",0.891118233,0.1052575558,1.334483902,1.774325298,9,0.117187239,0
27,0,2,3,1,high,1,"[-0.0038843154907226562, -0.4030667245388031, 0.8788691759109497]",0.9668965305,0.5787622929,1.575215972,2.000791539,8,0.2776077482,0
28,1,2,4,2,high,0,"[-0.6832704544067383, -0.28324925899505615, 0.5090222954750061]",0.8978821492,0.1396584958,2.501312591,1.891741633,7,0.1069519051,1
29,0,2,4,2,high,0,"[-0.6896119117736816, -0.13521718978881836, 0.4231167435646057]",0.8202902267,0.3483782411,2.591263806,1.736392795,,0.1842391381,1
30,1,2,4,2,high,1,"[0.1389315128326416, -0.96889728307724, 1.3358291387557983]",1.656050542,0.1396584958,1.467164955,2.195756586,8,0.1450616618,0
31,0,2,4,2,high,1,"[0.16510824859142303, -0.6380638480186462, 1.4502793550491333]",1.593014882,0.3483782411,1.45743856,1.982900839,8,0.2281315516,0
32,1,3,1,1,low,1,"[0.16942666471004486, -0.3129445016384125, 0.48990297317504883]",0.6055118322,1,1.237834832,2.113936028,9,0.1903204023,1
